target,source,flow
1,1,0
1,2,212
1,3,288
1,4,158
1,5,68
1,6,442
1,7,8
1,8,90
1,9,51
2,1,243
2,2,0
2,3,98
2,4,320
2,5,57
2,6,96
2,7,9
2,8,15
2,9,17
3,1,185
3,2,105
3,3,0
3,4,49
3,5,55
3,6,19
3,7,13
3,8,80
3,9,23
4,1,47
4,2,184
4,3,79
4,4,0
4,5,155
4,6,45
4,7,29
4,8,26
4,9,23
5,1,15
5,2,16
5,3,58
5,4,65
5,5,0
5,6,9
5,7,37
5,8,36
5,9,25
6,1,389
6,2,84
6,3,26
6,4,71
6,5,29
6,6,0
6,7,24
6,8,154
6,9,137
7,1,5
7,2,8
7,3,4
7,4,16
7,5,46
7,6,16
7,7,0
7,8,98
7,9,51
8,1,155
8,2,19
8,3,154
8,4,41
8,5,38
8,6,276
8,7,96
8,8,0
8,9,41
9,1,35
9,2,22
9,3,5
9,4,21
9,5,12
9,6,130
9,7,47
9,8,34
9,9,0
