Source,target,Flow
226,276,303
226,275,20
226,252,2
226,253,3
226,274,1
226,273,2
222,276,105
222,256,5
222,275,28
222,274,98
222,273,35
222,272,23
204,276,4
204,256,25
204,254,10
204,255,36
204,257,44
204,273,2
221,276,514
221,256,1
221,275,73
221,251,1
221,254,1
221,257,10
221,274,109
221,273,98
221,272,113
221,271,122
201,276,270
201,256,142
201,275,5
201,251,853
201,254,314
201,252,338
201,255,152
201,257,399
201,253,52
201,274,6
201,273,2
201,272,1
201,271,1
225,276,600
225,275,131
225,251,2
225,254,12
225,252,1
225,255,2
225,253,1
225,274,119
225,273,1
205,276,3
205,256,53
205,251,1
205,254,2
205,255,12
205,257,79
205,272,2
206,256,1
206,254,1
206,257,64
206,272,1
206,271,2
228,276,2009
228,256,2
228,275,2
228,251,8
228,254,2
228,252,5
228,274,2
228,273,1
202,256,26
202,275,5
202,251,4
202,254,112
202,252,191
202,255,94
202,257,48
202,253,25
202,274,1
202,273,1
202,271,1
203,276,1
203,256,44
203,254,69
203,252,2
203,255,24
203,257,22
203,274,6
227,276,648
227,275,82
227,251,1
227,254,1
227,252,11
227,257,1
227,253,2
227,274,16
224,276,584
224,256,1
224,275,26
224,251,2
224,252,2
224,255,7
224,253,1
224,274,49
224,273,59
224,272,2
223,276,357
223,275,44
223,255,5
223,274,30
223,273,27
